name;communityId
"dilemma";227
"diplomat";227
"end";227
"energy";227
"exercise";227
"ga";227
"hand";227
"hit";227
"hope";227
"in-fight";227
"individual";227
"instability";227
"intimidation";227
"kremlin";227
"lifeline";227
"offer";227
"olympics";227
"operation";227
"opinion";227
"opposition";227
"organization";227
"parliament";227
"peace";227
"pledge";227
"port";227
"present";227
"principle";227
"puppet";227
"race";227
"rage";227
"raise";227
"reason";227
"reporter";227
"republic";227
"rival";227
"russian-back";227
"sign";227
"sky";227
"solidarity";227
"solution";227
"son";227
"south";227
"speaker";227
"square";227
"summit";227
"support";227
"television";227
"term";227
"threat";227
"turn";227
"von";227
"whole";227
"winter";227
"work";227
"xi";227
"AP";199
"August";199
"Belarus";199
"Kremlin";199
"Kuchma";199
"Ukraine";199
"Viktor";199
"Yanukovich";199
"airport";199
"allegation";199
"annex";199
"businessman";199
"candidate";199
"cent";199
"civilian";199
"claim";199
"conference";199
"donetsk";199
"east";199
"elect";199
"election";199
"elite";199
"establishment";199
"evacuation";199
"fact";199
"government";199
"group";199
"guilt";199
"independence";199
"infrastructure";199
"irregularity";199
"kill";199
"lie";199
"month";199
"observer";199
"opponent";199
"partner";199
"party";199
"personnel";199
"poll";199
"power";199
"promise";199
"protest";199
"rate";199
"re-run";199
"rebel";199
"referendum";199
"responsibility";199
"revolution";199
"root";199
"source";199
"spetsnaz";199
"ukrainian";199
"uprise";199
"vote";199
"word";199
"yanukovich";199
"officer";156
"addict";150
"chess";150
"contribution";150
"drug";150
"master";150
"motive";150
"neo-nazis";150
"opportunity";150
"section";150
"focus";135
"outlet";99
"report";96
"toll";70
"Washington";56
"Danube";52
"aim";52
"ambition";52
"appeal";52
"bridge";52
"defence";52
"envoy";52
"expectation";52
"guard";52
"island";52
"land";52
"military";52
"mouth";52
"orbit";52
"proxy";52
"river";52
"side";52
"snake";52
"spillover";52
"strike";52
"warplane";52
"Chatham";41
"Chernobyl";41
"Eurasia";41
"Hungary";41
"Nikolai";41
"ally";41
"conflict";41
"country";41
"dawn";41
"day";41
"favour";41
"feel";41
"fellow";41
"house";41
"majority";41
"press";41
"programme";41
"republics";41
"research";41
"response";41
"rhetoric";41
"russian";41
"stability";41
"thing";41
"vehicle";41
"accusation";39
"propaganda";39
"2019";35
"America";35
"Australia";35
"Ben";35
"Britain";35
"Canada";35
"China";35
"F";35
"Germany";35
"Japan";35
"Jens";35
"Lenin";35
"Morrison";35
"Moscow";35
"Nord";35
"Scott";35
"Stoltenberg";35
"act";35
"address";35
"alliance";35
"anthem";35
"arm";35
"assessment";35
"attempt";35
"bayraktar";35
"car";35
"cause";35
"certification";35
"charge";35
"chief";35
"combat";35
"date";35
"decade";35
"declaration";35
"diplomacy";35
"drone";35
"effort";35
"expert";35
"explosion";35
"flag";35
"function";35
"gunfire";35
"life";35
"line";35
"loss";35
"media";35
"message";35
"move";35
"narrative";35
"nation";35
"north";35
"order";35
"part";35
"penalty";35
"pipeline";35
"plot";35
"pm";35
"prayer";35
"preparation";35
"presence";35
"quarter";35
"reply";35
"second";35
"series";35
"ship";35
"spring";35
"statehood";35
"status";35
"stream";35
"suffer";35
"surrender";35
"top";35
"unison";35
"warn";35
"wave";35
"week";35
"condition";28
"Antonio";12
"April";12
"Guterres";12
"Russia";12
"Thursday";12
"UN";12
"Vladimir";12
"Wallace";12
"actor";12
"advance";12
"agreement";12
"army";12
"assault";12
"association";12
"back";12
"church";12
"city";12
"corruption";12
"council";12
"culture";12
"defeat";12
"direction";12
"draft";12
"drift";12
"embrace";12
"eu";12
"expansion";12
"front";12
"genocide";12
"good";12
"history";12
"humanity";12
"investigator";12
"involvement";12
"justification";12
"market";12
"mass";12
"name";12
"navy";12
"new";12
"objective";12
"passport";12
"pew";12
"planner";12
"plant";12
"position";12
"pressure";12
"product";12
"raid";12
"rally";12
"recognition";12
"refuge";12
"refusal";12
"resident";12
"resolution";12
"scale";12
"secretary-general";12
"security";12
"service";12
"shelter";12
"siren";12
"soldier";12
"spirit";12
"survey";12
"talk";12
"trade";12
"tragedy";12
"travel";12
"trigger";12
"ty";12
"union";12
"vision";12
"weapon";12
"worker";12
"Anton";11
"Gerashchenko";11
"NATO";11
"advisor";11
"air";11
"area";11
"aviation";11
"crisis";11
"flank";11
"force";11
"interior";11
"ministry";11
"oil";11
"sea";11
"shot";11
"stock";11
"list";6
"French";4
"effect";4
"goodbye";4
"pretext";4
"tenure";4
"train";4
